"Sex","Ethnicity","Legal_Status","Custody_Status","Marital_Status","Recidivism_Supervision_Level","Raw_Score","Decile_Score"
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.697916666666667,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625,0.727272727272727
"Male","African-American","Conditional Release","Probation","Single","High",0.772916666666667,0.909090909090909
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.26875,0.181818181818182
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.375,0.181818181818182
"Male","Caucasian","Pretrial","Pretrial Defendant","Single","Low",0.475,0.363636363636364
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.558333333333333,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.745833333333333,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Divorced","Medium",0.608333333333333,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.735416666666667,0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.36875,0.181818181818182
"Male","African-American","Post Sentence","Probation","Single","Low",0.472916666666667,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.385416666666667,0.272727272727273
"Female","Hispanic","Pretrial","Jail Inmate","Divorced","Low",0.316666666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.279166666666667,0.181818181818182
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.570833333333333,0.545454545454545
"Female","African-American","Post Sentence","Probation","Single","Low",0.502083333333333,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.329166666666667,0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.183333333333333,0.181818181818182
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.341666666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.395833333333333,0.272727272727273
"Female","Caucasian","Pretrial","Pretrial Defendant","Single","Low",0.433333333333333,0.363636363636364
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.470833333333333,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.579166666666667,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.175,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.627083333333333,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.441666666666667,0.272727272727273
"Female","African-American","Post Sentence","Probation","Single","Low",0.533333333333333,0.545454545454545
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.370833333333333,0.181818181818182
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.704166666666667,0.818181818181818
"Female","African-American","Other","Probation","Single","Low",0.49375,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.866666666666667,1
"Male","Caucasian","Post Sentence","Probation","Single","Medium",0.666666666666667,0.727272727272727
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.41875,0.363636363636364
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.5,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.685416666666667,0.727272727272727
"Male","Other","Post Sentence","Probation","Single","Low",0.379166666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5625,0.545454545454545
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.59375,0.727272727272727
"Male","African-American","Post Sentence","Probation","Single","Medium",0.645833333333333,0.636363636363636
"Male","Asian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.6875,0.818181818181818
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.372916666666667,0.181818181818182
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.43125,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.652083333333333,0.727272727272727
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.566666666666667,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.575,0.545454545454545
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.43125,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.733333333333333,0.909090909090909
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.583333333333333,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.739583333333333,0.909090909090909
"Male","Other","Pretrial","Jail Inmate","Single","Medium",0.535416666666667,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.529166666666667,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.660416666666667,0.727272727272727
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.460416666666667,0.363636363636364
"Male","African-American","Post Sentence","Probation","Single","Low",0.404166666666667,0.272727272727273
"Female","Hispanic","Other","Probation","Married","Low",0.452083333333333,0.363636363636364
"Male","African-American","Conditional Release","Probation","Single","Low",0.554166666666667,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Medium",0.65,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.460416666666667,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.810416666666667,1
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.70625,0.818181818181818
"Male","Hispanic","Other","Probation","Separated","Low",0.2875,0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.522916666666667,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.71875,0.818181818181818
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.747916666666667,0.909090909090909
"Male","African-American","Post Sentence","Probation","Single","Low",0.435416666666667,0.272727272727273
"Male","African-American","Post Sentence","Probation","Single","Medium",0.635416666666667,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.608333333333333,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.0875,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Divorced","High",0.7375,0.909090909090909
"Male","African-American","Post Sentence","Residential Program","Single","High",0.827083333333333,1
"Male","Hispanic","Pretrial","Jail Inmate","Single","Medium",0.59375,0.545454545454545
"Male","African-American","Pretrial","Pretrial Defendant","Single","Medium",0.604166666666667,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.625,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.4625,0.363636363636364
"Male","African-American","Post Sentence","Probation","Single","Low",0.541666666666667,0.454545454545455
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.479166666666667,0.363636363636364
"Male","African-American","Other","Probation","Single","Low",0.454166666666667,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.595833333333333,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.608333333333333,0.636363636363636
"Female","Hispanic","Post Sentence","Probation","Single","Low",0.435416666666667,0.363636363636364
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.522916666666667,0.545454545454545
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.6375,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.652083333333333,0.727272727272727
"Male","Other","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.708333333333333,0.818181818181818
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.508333333333333,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.591666666666667,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.702083333333333,0.818181818181818
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.525,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.566666666666667,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.20625,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.79375,1
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.0916666666666667,0.181818181818182
"Female","Other","Pretrial","Jail Inmate","Married","Low",0.158333333333333,0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.583333333333333,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.520833333333333,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.285416666666667,0.181818181818182
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.08125,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married","High",0.802083333333333,1
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.31875,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.627083333333333,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.602083333333333,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.345833333333333,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.379166666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.514583333333333,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.777083333333333,0.909090909090909
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.225,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Married","Low",0.366666666666667,0.272727272727273
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.0979166666666666,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.352083333333333,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.59375,0.545454545454545
"Female","Hispanic","Post Sentence","Probation","Married","Low",0.441666666666667,0.363636363636364
"Female","Caucasian","Other","Probation","Divorced","Low",0.3,0.181818181818182
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.520833333333333,0.454545454545455
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.46875,0.363636363636364
"Male","Other","Pretrial","Jail Inmate","Separated","Low",0.360416666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.608333333333333,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.845833333333333,1
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.31875,0.181818181818182
"Female","Caucasian","Pretrial","Pretrial Defendant","Single","Medium with Override Consideration",0.577083333333333,0.636363636363636
"Male","Caucasian","Post Sentence","Probation","Married","Medium",0.63125,0.636363636363636
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.454166666666667,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.38125,0.272727272727273
"Male","African-American","Post Sentence","Probation","Married","Medium",0.683333333333333,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.670833333333333,0.727272727272727
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.720833333333333,0.818181818181818
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.4625,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.510416666666667,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.73125,0.818181818181818
"Female","African-American","Other","Probation","Single","Medium",0.55625,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.56875,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.55625,0.454545454545455
"Male","Hispanic","Pretrial","Jail Inmate","Separated","Low",0.372916666666667,0.181818181818182
"Male","Hispanic","Other","Probation","Single","Low",0.5125,0.363636363636364
"Female","African-American","Post Sentence","Probation","Single","Low",0.558333333333333,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.61875,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.533333333333333,0.454545454545455
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.54375,0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.833333333333333,1
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.558333333333333,0.636363636363636
"Female","Other","Pretrial","Jail Inmate","Single","Low",0.264583333333333,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.777083333333333,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.610416666666667,0.636363636363636
"Male","Caucasian","Other","Probation","Married","Low",0.458333333333333,0.272727272727273
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.5625,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.775,0.909090909090909
"Male","African-American","Post Sentence","Probation","Single","Medium",0.6375,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Significant Other","Low",0.422916666666667,0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Widowed","Low",0.10625,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.45625,0.454545454545455
"Male","Other","Post Sentence","Probation","Single","Low",0.591666666666667,0.545454545454545
"Male","Caucasian","Other","Probation","Separated","Low",0.1625,0.181818181818182
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.479166666666667,0.363636363636364
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.25625,0.181818181818182
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.54375,0.363636363636364
"Female","Hispanic","Post Sentence","Probation","Single","Low",0.460416666666667,0.454545454545455
"Male","Hispanic","Other","Probation","Single","High",0.808333333333333,1
"Male","African-American","Probation Violator","Probation","Single","Medium with Override Consideration",0.927083333333333,1
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.58125,0.545454545454545
"Female","African-American","Other","Probation","Single","Low",0.325,0.272727272727273
"Male","Caucasian","Other","Probation","Single","Low",0.472916666666667,0.363636363636364
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.647916666666667,0.727272727272727
"Male","Caucasian","Other","Probation","Married","Low",0.2,0.181818181818182
"Male","Hispanic","Other","Probation","Married","Low",0.43125,0.272727272727273
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.429166666666667,0.272727272727273
"Male","African-American","Conditional Release","Probation","Married","Low",0.3,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.708333333333333,0.818181818181818
"Male","African-American","Post Sentence","Probation","Single","Low",0.56875,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.295833333333333,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.585416666666667,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.495833333333333,0.363636363636364
"Female","African-American","Post Sentence","Probation","Separated","Medium with Override Consideration",0.65,0.818181818181818
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.583333333333333,0.636363636363636
"Female","African-American","Other","Probation","Single","Medium",0.564583333333333,0.636363636363636
"Female","African-American","Pretrial","Pretrial Defendant","Single","High",0.760416666666667,1
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.402083333333333,0.272727272727273
"Female","Caucasian","Post Sentence","Probation","Divorced","Low",0.2375,0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.395833333333333,0.272727272727273
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.33125,0.272727272727273
"Female","Asian","Post Sentence","Probation","Married","Low",0.35,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.427083333333333,0.272727272727273
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.420833333333333,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.733333333333333,0.909090909090909
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.535416666666667,0.454545454545455
"Male","Hispanic","Post Sentence","Probation","Single","Medium",0.647916666666667,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.6625,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Divorced","Low",0.597916666666667,0.545454545454545
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.804166666666667,1
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.610416666666667,0.545454545454545
"Male","Hispanic","Pretrial","Jail Inmate","Married","Medium",0.64375,0.727272727272727
"Male","Hispanic","Post Sentence","Probation","Separated","Low",0.347916666666667,0.181818181818182
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.525,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.670833333333333,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.689583333333333,0.818181818181818
"Female","Hispanic","Post Sentence","Probation","Single","Medium",0.579166666666667,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.552083333333333,0.454545454545455
"Male","African-American","Other","Probation","Separated","Low",0.341666666666667,0.181818181818182
"Female","Caucasian","Pretrial","Pretrial Defendant","Divorced","Low",0.497916666666667,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.320833333333333,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.458333333333333,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.510416666666667,0.363636363636364
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.547916666666667,0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.439583333333333,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.777083333333333,0.909090909090909
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.44375,0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.5875,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.377083333333333,0.181818181818182
"Female","Other","Pretrial","Pretrial Defendant","Married","Low",0.327083333333333,0.272727272727273
"Male","Asian","Pretrial","Jail Inmate","Single","Low",0.389583333333333,0.272727272727273
"Female","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.68125,0.818181818181818
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.297916666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.347916666666667,0.181818181818182
"Male","African-American","Pretrial","Pretrial Defendant","Single","Medium",0.625,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.50625,0.363636363636364
"Male","Hispanic","Other","Probation","Single","Low",0.2625,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.48125,0.363636363636364
"Male","Hispanic","Post Sentence","Probation","Married","Low",0.475,0.363636363636364
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.797916666666667,1
"Male","Caucasian","Post Sentence","Probation","Single","Medium with Override Consideration",0.722916666666667,0.818181818181818
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.610416666666667,0.636363636363636
"Male","Caucasian","Other","Probation","Separated","Low",0.579166666666667,0.545454545454545
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.46875,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.679166666666667,0.727272727272727
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.727083333333333,0.909090909090909
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.58125,0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.554166666666667,0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.433333333333333,0.363636363636364
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.239583333333333,0.181818181818182
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.847916666666667,1
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.560416666666667,0.454545454545455
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.385416666666667,0.272727272727273
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.48125,0.454545454545455
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.36875,0.181818181818182
"Male","Caucasian","Pretrial","Pretrial Defendant","Significant Other","Low",0.583333333333333,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5875,0.545454545454545
"Male","Caucasian","Post Sentence","Jail Inmate","Single","Low",0.545833333333333,0.454545454545455
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.44375,0.272727272727273
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.652083333333333,0.818181818181818
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.204166666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.491666666666667,0.363636363636364
"Male","African-American","Post Sentence","Probation","Single","Low",0.510416666666667,0.363636363636364
"Male","African-American","Post Sentence","Probation","Single","Medium",0.654166666666667,0.727272727272727
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.0833333333333333,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.735416666666667,0.909090909090909
"Female","African-American","Pretrial","Jail Inmate","Single","High",0.7125,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.791666666666667,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.804166666666667,1
"Male","Asian","Pretrial","Jail Inmate","Single","Low",0.266666666666667,0.181818181818182
"Male","African-American","Post Sentence","Probation","Single","High",0.783333333333333,0.909090909090909
"Male","Caucasian","Conditional Release","Probation","Single","Low",0.575,0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.51875,0.545454545454545
"Female","African-American","Post Sentence","Probation","Single","Low",0.483333333333333,0.454545454545455
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.489583333333333,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.40625,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.80625,1
"Female","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.772916666666667,1
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.608333333333333,0.636363636363636
"Male","Caucasian","Pretrial","Pretrial Defendant","Divorced","Medium",0.572916666666667,0.545454545454545
"Male","Caucasian","Pretrial","Jail Inmate","Married","Medium",0.660416666666667,0.727272727272727
"Female","Hispanic","Post Sentence","Jail Inmate","Single","Low",0.4875,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.597916666666667,0.545454545454545
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.420833333333333,0.272727272727273
"Female","African-American","Post Sentence","Probation","Single","Medium",0.616666666666667,0.727272727272727
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.25625,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.6125,0.636363636363636
"Female","African-American","Pretrial","Jail Inmate","Separated","Low",0.4875,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.597916666666667,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.73125,0.818181818181818
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.472916666666667,0.454545454545455
"Male","African-American","Post Sentence","Probation","Separated","Low",0.460416666666667,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.466666666666667,0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.5625,0.545454545454545
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.229166666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.56875,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5875,0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.49375,0.363636363636364
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.360416666666667,0.272727272727273
