"Sex","Ethnicity","Legal_Status","Custody_Status","Marital_Status","Recidivism_Supervision_Level","Raw_Score"
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.645833333333333
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.34375
"Male","Caucasian","Pretrial","Residential Program","Married","Low",0.125
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.272916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.458333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.633333333333333
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.460416666666667
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.570833333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.697916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625
"Male","African-American","Conditional Release","Probation","Single","High",0.772916666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.26875
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.375
"Male","Caucasian","Pretrial","Pretrial Defendant","Single","Low",0.475
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.558333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.745833333333333
"Male","African-American","Pretrial","Jail Inmate","Divorced","Medium",0.608333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.735416666666667
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.36875
"Male","African-American","Post Sentence","Probation","Single","Low",0.472916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.385416666666667
"Female","Hispanic","Pretrial","Jail Inmate","Divorced","Low",0.316666666666667
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.279166666666667
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.570833333333333
"Female","African-American","Post Sentence","Probation","Single","Low",0.502083333333333
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.329166666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.183333333333333
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.341666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.395833333333333
"Female","Caucasian","Pretrial","Pretrial Defendant","Single","Low",0.433333333333333
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.470833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.579166666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.175
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.627083333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.441666666666667
"Female","African-American","Post Sentence","Probation","Single","Low",0.533333333333333
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.370833333333333
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.704166666666667
"Female","African-American","Other","Probation","Single","Low",0.49375
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.866666666666667
"Male","Caucasian","Post Sentence","Probation","Single","Medium",0.666666666666667
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.41875
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.5
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.685416666666667
"Male","Other","Post Sentence","Probation","Single","Low",0.379166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5625
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.59375
"Male","African-American","Post Sentence","Probation","Single","Medium",0.645833333333333
"Male","Asian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.6875
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.372916666666667
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.43125
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.652083333333333
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.566666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.575
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.43125
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.733333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.583333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.739583333333333
"Male","Other","Pretrial","Jail Inmate","Single","Medium",0.535416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.529166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.660416666666667
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.460416666666667
"Male","African-American","Post Sentence","Probation","Single","Low",0.404166666666667
"Female","Hispanic","Other","Probation","Married","Low",0.452083333333333
"Male","African-American","Conditional Release","Probation","Single","Low",0.554166666666667
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Medium",0.65
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.460416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.810416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.70625
"Male","Hispanic","Other","Probation","Separated","Low",0.2875
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.522916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.71875
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.747916666666667
"Male","African-American","Post Sentence","Probation","Single","Low",0.435416666666667
"Male","African-American","Post Sentence","Probation","Single","Medium",0.635416666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.608333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.0875
"Male","African-American","Pretrial","Jail Inmate","Divorced","High",0.7375
"Male","African-American","Post Sentence","Residential Program","Single","High",0.827083333333333
"Male","Hispanic","Pretrial","Jail Inmate","Single","Medium",0.59375
"Male","African-American","Pretrial","Pretrial Defendant","Single","Medium",0.604166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.625
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.4625
"Male","African-American","Post Sentence","Probation","Single","Low",0.541666666666667
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.479166666666667
"Male","African-American","Other","Probation","Single","Low",0.454166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.595833333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.608333333333333
"Female","Hispanic","Post Sentence","Probation","Single","Low",0.435416666666667
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.522916666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.6375
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.652083333333333
"Male","Other","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.708333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.508333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.591666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.702083333333333
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.525
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.566666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.20625
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.79375
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.0916666666666667
"Female","Other","Pretrial","Jail Inmate","Married","Low",0.158333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.583333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.520833333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.285416666666667
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.08125
"Male","African-American","Pretrial","Jail Inmate","Married","High",0.802083333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.31875
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.627083333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.602083333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.345833333333333
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.379166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.514583333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.777083333333333
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.225
"Female","African-American","Pretrial","Jail Inmate","Married","Low",0.366666666666667
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.0979166666666666
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.352083333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.59375
"Female","Hispanic","Post Sentence","Probation","Married","Low",0.441666666666667
"Female","Caucasian","Other","Probation","Divorced","Low",0.3
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.520833333333333
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.46875
"Male","Other","Pretrial","Jail Inmate","Separated","Low",0.360416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.608333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.845833333333333
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.31875
"Female","Caucasian","Pretrial","Pretrial Defendant","Single","Medium with Override Consideration",0.577083333333333
"Male","Caucasian","Post Sentence","Probation","Married","Medium",0.63125
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.454166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.38125
"Male","African-American","Post Sentence","Probation","Married","Medium",0.683333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.670833333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.720833333333333
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.4625
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.510416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.73125
"Female","African-American","Other","Probation","Single","Medium",0.55625
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.56875
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.55625
"Male","Hispanic","Pretrial","Jail Inmate","Separated","Low",0.372916666666667
"Male","Hispanic","Other","Probation","Single","Low",0.5125
"Female","African-American","Post Sentence","Probation","Single","Low",0.558333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.61875
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.533333333333333
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.54375
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.833333333333333
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.558333333333333
"Female","Other","Pretrial","Jail Inmate","Single","Low",0.264583333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.777083333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.610416666666667
"Male","Caucasian","Other","Probation","Married","Low",0.458333333333333
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.5625
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.775
"Male","African-American","Post Sentence","Probation","Single","Medium",0.6375
"Male","Caucasian","Pretrial","Jail Inmate","Significant Other","Low",0.422916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Widowed","Low",0.10625
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.45625
"Male","Other","Post Sentence","Probation","Single","Low",0.591666666666667
"Male","Caucasian","Other","Probation","Separated","Low",0.1625
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.479166666666667
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.25625
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.54375
"Female","Hispanic","Post Sentence","Probation","Single","Low",0.460416666666667
"Male","Hispanic","Other","Probation","Single","High",0.808333333333333
"Male","African-American","Probation Violator","Probation","Single","Medium with Override Consideration",0.927083333333333
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.58125
"Female","African-American","Other","Probation","Single","Low",0.325
"Male","Caucasian","Other","Probation","Single","Low",0.472916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.647916666666667
"Male","Caucasian","Other","Probation","Married","Low",0.2
"Male","Hispanic","Other","Probation","Married","Low",0.43125
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.429166666666667
"Male","African-American","Conditional Release","Probation","Married","Low",0.3
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.708333333333333
"Male","African-American","Post Sentence","Probation","Single","Low",0.56875
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.295833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.585416666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.495833333333333
"Female","African-American","Post Sentence","Probation","Separated","Medium with Override Consideration",0.65
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.583333333333333
"Female","African-American","Other","Probation","Single","Medium",0.564583333333333
"Female","African-American","Pretrial","Pretrial Defendant","Single","High",0.760416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.402083333333333
"Female","Caucasian","Post Sentence","Probation","Divorced","Low",0.2375
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.395833333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.33125
"Female","Asian","Post Sentence","Probation","Married","Low",0.35
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.427083333333333
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.420833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.733333333333333
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.535416666666667
"Male","Hispanic","Post Sentence","Probation","Single","Medium",0.647916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.6625
"Male","African-American","Pretrial","Jail Inmate","Divorced","Low",0.597916666666667
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.804166666666667
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.610416666666667
"Male","Hispanic","Pretrial","Jail Inmate","Married","Medium",0.64375
"Male","Hispanic","Post Sentence","Probation","Separated","Low",0.347916666666667
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.525
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.670833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.689583333333333
"Female","Hispanic","Post Sentence","Probation","Single","Medium",0.579166666666667
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.552083333333333
"Male","African-American","Other","Probation","Separated","Low",0.341666666666667
"Female","Caucasian","Pretrial","Pretrial Defendant","Divorced","Low",0.497916666666667
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.320833333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.458333333333333
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.510416666666667
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.547916666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.439583333333333
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.777083333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.44375
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.5875
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.377083333333333
"Female","Other","Pretrial","Pretrial Defendant","Married","Low",0.327083333333333
"Male","Asian","Pretrial","Jail Inmate","Single","Low",0.389583333333333
"Female","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.68125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.297916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.347916666666667
"Male","African-American","Pretrial","Pretrial Defendant","Single","Medium",0.625
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.50625
"Male","Hispanic","Other","Probation","Single","Low",0.2625
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.48125
"Male","Hispanic","Post Sentence","Probation","Married","Low",0.475
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.797916666666667
"Male","Caucasian","Post Sentence","Probation","Single","Medium with Override Consideration",0.722916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.610416666666667
"Male","Caucasian","Other","Probation","Separated","Low",0.579166666666667
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.46875
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.679166666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.727083333333333
"Female","Caucasian","Post Sentence","Probation","Single","Medium",0.58125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.554166666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.433333333333333
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.239583333333333
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.847916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.560416666666667
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.385416666666667
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.48125
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.36875
"Male","Caucasian","Pretrial","Pretrial Defendant","Significant Other","Low",0.583333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5875
"Male","Caucasian","Post Sentence","Jail Inmate","Single","Low",0.545833333333333
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.44375
"Female","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.652083333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.204166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.491666666666667
"Male","African-American","Post Sentence","Probation","Single","Low",0.510416666666667
"Male","African-American","Post Sentence","Probation","Single","Medium",0.654166666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.0833333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.735416666666667
"Female","African-American","Pretrial","Jail Inmate","Single","High",0.7125
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.791666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.804166666666667
"Male","Asian","Pretrial","Jail Inmate","Single","Low",0.266666666666667
"Male","African-American","Post Sentence","Probation","Single","High",0.783333333333333
"Male","Caucasian","Conditional Release","Probation","Single","Low",0.575
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.51875
"Female","African-American","Post Sentence","Probation","Single","Low",0.483333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.489583333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.40625
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.80625
"Female","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.772916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.608333333333333
"Male","Caucasian","Pretrial","Pretrial Defendant","Divorced","Medium",0.572916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Medium",0.660416666666667
"Female","Hispanic","Post Sentence","Jail Inmate","Single","Low",0.4875
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.597916666666667
"Male","Other","Pretrial","Jail Inmate","Single","Low",0.420833333333333
"Female","African-American","Post Sentence","Probation","Single","Medium",0.616666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.25625
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.6125
"Female","African-American","Pretrial","Jail Inmate","Separated","Low",0.4875
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.597916666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.73125
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.472916666666667
"Male","African-American","Post Sentence","Probation","Separated","Low",0.460416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.466666666666667
"Male","African-American","Pretrial","Jail Inmate","Significant Other","Low",0.5625
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.229166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.56875
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.5875
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.49375
"Female","Caucasian","Post Sentence","Probation","Single","Low",0.360416666666667
"Female","Caucasian","Pretrial","Pretrial Defendant","Married","Low",0.272916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.108333333333333
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.720833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.741666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.141666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.652083333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.620833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.45
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.691666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.710416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.727083333333333
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.689583333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.30625
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.7125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.44375
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.63125
"Male","African-American","Pretrial","Prison Inmate","Single","Low",0.491666666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.647916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.65
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.495833333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.727083333333333
"Female","Other","Pretrial","Jail Inmate","Single","Medium",0.59375
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.220833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.8125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.7
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.541666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.35625
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.510416666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.372916666666667
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.314583333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.33125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.308333333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.652083333333333
"Male","Hispanic","Pretrial","Jail Inmate","Married","Low",0.410416666666667
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.252083333333333
"Male","Caucasian","Pretrial","Jail Inmate","Divorced","Low",0.19375
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.19375
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.84375
"Male","Caucasian","Pretrial","Jail Inmate","Single","High",0.695833333333333
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.50625
"Male","Caucasian","Pretrial","Jail Inmate","Married","Medium with Override Consideration",0.71875
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.189583333333333
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.50625
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.702083333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.0791666666666666
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.65625
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.235416666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.127083333333333
"Male","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.477083333333333
"Male","African-American","Pretrial","Jail Inmate","Married","Medium with Override Consideration",0.7375
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.422916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.577083333333333
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.560416666666667
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.552083333333333
"Female","Caucasian","Post Sentence","Pretrial Defendant","Single","High",0.702083333333333
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium",0.63125
"Male","African-American","Post Sentence","Probation","Single","Medium",0.679166666666667
"Female","Caucasian","Pretrial","Jail Inmate","Married","Low",0.327083333333333
"Male","Hispanic","Post Sentence","Probation","Single","Low",0.502083333333333
"Male","African-American","Post Sentence","Probation","Divorced","Medium",0.604166666666667
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.610416666666667
"Male","Hispanic","Pretrial","Jail Inmate","Single","Medium",0.652083333333333
"Female","African-American","Pretrial","Pretrial Defendant","Single","Medium with Override Consideration",0.714583333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.597916666666667
"Female","Hispanic","Post Sentence","Probation","Single","Medium",0.5625
"Male","Hispanic","Pretrial","Jail Inmate","Single","Low",0.585416666666667
